exchange_id,reaction_name,lower_bound,upper_bound
EX_cpd02791_c0,,0.0,1000.0
EX_cpd01042_c0,,0.0,1000.0
EX_cpd03091_c0,,0.0,1000.0
EX_Biomass,,0.0,1000.0
EX_cpd11590_e0,,0.0,1000.0
EX_cpd16062_e0,,0.0,1000.0
EX_cpd00156_e0,,0.0,1000.0
EX_cpd11583_e0,,0.0,1000.0
EX_cpd01242_e0,,0.0,1000.0
EX_cpd00254_e0,,-1000.0,1000.0
EX_cpd15603_e0,,0.0,1000.0
EX_cpd11576_e0,,0.0,1000.0
EX_cpd00098_e0,,0.0,1000.0
EX_cpd00971_e0,,-1000.0,1000.0
EX_cpd00023_e0,,0.0,1000.0
EX_cpd03424_e0,,0.0,1000.0
EX_cpd00205_e0,,-1000.0,1000.0
EX_cpd00034_e0,,-1000.0,1000.0
EX_cpd00009_e0,,-1000.0,1000.0
EX_cpd15606_e0,,0.0,1000.0
EX_cpd00048_e0,,-1000.0,1000.0
EX_cpd00039_e0,,0.0,1000.0
EX_cpd00106_e0,,0.0,1000.0
EX_cpd00264_e0,,0.0,1000.0
EX_cpd01171_e0,,0.0,1000.0
EX_cpd00211_e0,,0.0,1000.0
EX_cpd00129_e0,,0.0,1000.0
EX_cpd00119_e0,,0.0,1000.0
EX_cpd01017_e0,,0.0,1000.0
EX_cpd11586_e0,,0.0,1000.0
EX_cpd00060_e0,,0.0,1000.0
EX_cpd00797_e0,,0.0,1000.0
EX_cpd00027_e0,,-10.0,1000.0
EX_cpd11589_e0,,0.0,1000.0
EX_cpd00082_e0,,0.0,1000.0
EX_cpd00130_e0,,0.0,1000.0
EX_cpd01030_e0,,0.0,1000.0
EX_cpd15302_c0,,0.0,1000.0
EX_cpd00268_e0,,0.0,1000.0
EX_cpd00066_e0,,0.0,1000.0
EX_cpd11584_e0,,0.0,1000.0
EX_cpd00142_e0,,0.0,1000.0
EX_cpd00355_e0,,0.0,1000.0
EX_cpd15604_e0,,0.0,1000.0
EX_cpd00105_e0,,0.0,1000.0
EX_cpd00041_e0,,0.0,1000.0
EX_cpd00162_e0,,0.0,1000.0
EX_cpd11593_e0,,0.0,1000.0
EX_cpd00001_e0,,-1000.0,1000.0
EX_cpd00222_e0,,0.0,1000.0
EX_cpd01329_e0,,0.0,1000.0
EX_cpd00314_e0,,0.0,1000.0
EX_cpd00100_e0,,0.0,1000.0
EX_cpd00064_e0,,0.0,1000.0
EX_cpd11587_e0,,0.0,1000.0
EX_cpd00322_e0,,0.0,1000.0
EX_cpd00013_e0,,-1000.0,1000.0
EX_cpd01080_e0,,0.0,1000.0
EX_cpd00107_e0,,0.0,1000.0
EX_cpd00226_e0,,0.0,1000.0
EX_cpd00036_e0,,0.0,1000.0
EX_cpd10515_e0,,-1000.0,1000.0
EX_cpd00099_e0,,-1000.0,1000.0
EX_cpd11592_e0,,0.0,1000.0
EX_cpd00276_e0,,0.0,1000.0
EX_cpd00012_e0,,0.0,1000.0
EX_cpd11580_e0,,0.0,1000.0
EX_cpd11581_e0,,0.0,1000.0
EX_cpd01012_e0,,0.0,1000.0
EX_cpd01262_e0,,0.0,1000.0
EX_cpd00307_e0,,0.0,1000.0
EX_cpd00159_e0,,0.0,1000.0
EX_cpd01914_e0,,0.0,1000.0
EX_cpd00531_e0,,-1000.0,1000.0
EX_cpd00051_e0,,0.0,1000.0
EX_cpd00214_e0,,0.0,1000.0
EX_cpd11585_e0,,0.0,1000.0
EX_cpd00122_e0,,0.0,1000.0
EX_cpd00635_e0,,-1000.0,1000.0
EX_cpd00065_e0,,0.0,1000.0
EX_cpd00209_e0,,0.0,1000.0
EX_cpd11591_e0,,0.0,1000.0
EX_cpd00092_e0,,0.0,1000.0
EX_cpd00058_e0,,-1000.0,1000.0
EX_cpd04097_e0,,-1000.0,1000.0
EX_cpd00149_e0,,-1000.0,1000.0
EX_cpd00794_e0,,0.0,1000.0
EX_cpd00076_e0,,0.0,1000.0
EX_cpd00308_e0,,0.0,1000.0
EX_cpd00179_e0,,0.0,1000.0
EX_cpd15605_e0,,0.0,1000.0
EX_cpd00073_e0,,0.0,1000.0
EX_cpd00118_e0,,0.0,1000.0
EX_cpd00423_e0,,0.0,1000.0
EX_cpd11582_e0,,0.0,1000.0
EX_cpd03847_e0,,0.0,1000.0
EX_cpd00637_e0,,0.0,1000.0
EX_cpd11588_e0,,0.0,1000.0
EX_cpd03696_e0,,0.0,1000.0
EX_cpd00528_c0,,0.0,1000.0
EX_cpd00069_e0,,0.0,1000.0
EX_cpd00221_e0,,0.0,1000.0
EX_cpd10516_e0,,-1000.0,1000.0
EX_cpd00011_e0,,-1000.0,1000.0
EX_cpd00007_e0,,-1000.0,1000.0
EX_cpd11416_c0,,0.0,1000.0
EX_cpd11606_e0,,0.0,1000.0
EX_cpd00063_e0,,-1000.0,1000.0
EX_cpd00793_e0,,0.0,1000.0
EX_cpd00393_e0,,0.0,1000.0
EX_cpd00030_e0,,-1000.0,1000.0
EX_cpd00141_e0,,0.0,1000.0
EX_cpd00029_e0,,0.0,1000.0
EX_cpd00137_e0,,0.0,1000.0
EX_cpd00139_e0,,0.0,1000.0
EX_cpd00024_e0,,0.0,1000.0
EX_cpd03561_e0,,0.0,1000.0
EX_cpd00047_e0,,0.0,1000.0
EX_cpd00386_e0,,0.0,1000.0
EX_cpd00067_e0,,0.0,1000.0
EX_cpd00067_c0,,-1000.0,1000.0
EX_cpd20885_e0,,0.0,1000.0
EX_cpd29840_e0,,0.0,1000.0
EX_cpd26818_e0,,0.0,1000.0
EX_cpd00492_e0,,0.0,1000.0
EX_cpd00750_e0,,0.0,1000.0
EX_cpd00751_e0,,0.0,1000.0
EX_cpd01307_e0,,0.0,1000.0
EX_cpd00121_e0,,0.0,1000.0
EX_cpd00550_e0,,0.0,1000.0
EX_cpd01293_e0,,0.0,1000.0
EX_cpd02143_e0,,0.0,1000.0
EX_cpd00281_e0,,0.0,1000.0
EX_cpd05262_e0,,0.0,1000.0
EX_cpd00164_e0,,0.0,1000.0
EX_cpd00072_e0,,0.0,1000.0
EX_cpd00117_e0,,0.0,1000.0
EX_cpd00246_e0,,0.0,1000.0
EX_cpd00035_e0,,0.0,1000.0
EX_cpd00132_e0,,0.0,1000.0
