gene_id	gene_name	n_reactions	reaction_ids
PST_3486	G_PST_3486	3	rxn05608;rxn10174;rxn05170
PST_3478	G_PST_3478	4	rxn05608;rxn10174;rxn05170;rxn00062
PST_3490	G_PST_3490	4	rxn05607;rxn05608;rxn10174;rxn05170
PST_3485	G_PST_3485	3	rxn05608;rxn10174;rxn05170
PST_1831	G_PST_1831	1	rxn00138
PST_2306	G_PST_2306	2	rxn03136;rxn00800
PST_2443	G_PST_2443	2	rxn00216;rxn01169
PST_3499	G_PST_3499	2	rxn00216;rxn01169
PST_1291	G_PST_1291	3	rxn05029;rxn08194;rxn03535
PST_3785	G_PST_3785	1	rxn02373
PST_1604	G_PST_1604	1	rxn05581
PST_0744	G_PST_0744	2	rxn00726;rxn00727
PST_0745	G_PST_0745	3	rxn00726;rxn00727;rxn01257
PST_1997	G_PST_1997	1	rxn02177
PST_2331	G_PST_2331	1	rxn02177
PST_3598	G_PST_3598	1	rxn02177
PST_3012	G_PST_3012	1	rxn02177
PST_2788	G_PST_2788	1	rxn03147
PST_0724	G_PST_0724	1	rxn00095
PST_2054	G_PST_2054	2	rxn01211;rxn00907
PST_3495	G_PST_3495	2	rxn03884;rxn00328
PST_2327	G_PST_2327	2	rxn03884;rxn00328
PST_1126	G_PST_1126	2	rxn00173;rxn00670
PST_0690	G_PST_0690	2	rxn00173;rxn00670
PST_1672	G_PST_1672	1	rxn02782
PST_0315	G_PST_0315	1	rxn00371
PST_1939	G_PST_1939	1	rxn00371
PST_0346	G_PST_0346	1	rxn00371
PST_1940	G_PST_1940	1	rxn00371
PST_3681	G_PST_3681	1	rxn00539
PST_3682	G_PST_3682	1	rxn00539
PST_1694	G_PST_1694	2	rxn02270;rxn01924
PST_1915	G_PST_1915	3	rxn01451;rxn02270;rxn01924
PST_0934	G_PST_0934	2	rxn00184;rxn00182
PST_1682	G_PST_1682	2	rxn01241;rxn06493
PST_0926	G_PST_0926	2	rxn01297;rxn01522
PST_0924	G_PST_0924	2	rxn01297;rxn01522
PST_3081	G_PST_3081	2	rxn01297;rxn01522
PST_0925	G_PST_0925	2	rxn01297;rxn01522
PST_3082	G_PST_3082	2	rxn01297;rxn01522
PST_1036	G_PST_1036	1	rxn01117
PST_1621	G_PST_1621	1	rxn01107
PST_2630	G_PST_2630	1	rxn00776
PST_1422	G_PST_1422	1	rxn00776
PST_2326	G_PST_2326	1	rxn00776
PST_1261	G_PST_1261	1	rxn00776
PST_3719	G_PST_3719	1	rxn00776
PST_1452	G_PST_1452	1	rxn00776
PST_3642	G_PST_3642	1	rxn00776
PST_3308	G_PST_3308	1	rxn00776
PST_1778	G_PST_1778	1	rxn00776
PST_1686	G_PST_1686	1	rxn09296
PST_0567	G_PST_0567	1	rxn09296
PST_2433	G_PST_2433	1	rxn01255
PST_3257	G_PST_3257	3	rxn02185;rxn00011;rxn03194
PST_3258	G_PST_3258	3	rxn02185;rxn00011;rxn03194
PST_2390	G_PST_2390	3	rxn08335;rxn08336;rxn01360
PST_0685	G_PST_0685	1	rxn01453
PST_1543	G_PST_1543	1	rxn03958
PST_4114	G_PST_4114	2	rxn12206;rxn05465
PST_3116	G_PST_3116	2	rxn01280;rxn01281
PST_2974	G_PST_2974	2	rxn01280;rxn01281
PST_0096	G_PST_0096	2	ADD_GABA3;rxn01729
PST_2412	G_PST_2412	2	rxn02287;rxn02774
PST_3537	G_PST_3537	2	rxn02287;rxn02774
PST_2039	G_PST_2039	1	rxn00147
PST_0273	G_PST_0273	2	rxn05312;rxn11268
PST_2345	G_PST_2345	1	rxn03057
PST_0276	G_PST_0276	1	rxn00646
PST_3846	G_PST_3846	1	rxn08708
PST_4104	G_PST_4104	2	rxn05151;rxn05156
PST_3077	G_PST_3077	1	rxn03886
PST_3317	G_PST_3317	1	rxn01485
PST_1957	G_PST_1957	1	rxn04704
PST_1830	G_PST_1830	1	rxn04704
PST_2109	G_PST_2109	1	rxn04704
PST_3758	G_PST_3758	1	rxn01629
PST_1880	G_PST_1880	3	rxn05244;rxn05243;rxn05669
PST_2775	G_PST_2775	3	rxn05244;rxn05243;rxn05669
PST_1328	G_PST_1328	0	
PST_1326	G_PST_1326	0	
PST_1327	G_PST_1327	0	
PST_1600	G_PST_1600	1	rxn05313
PST_4036	G_PST_4036	1	rxn05313
PST_4005	G_PST_4005	1	rxn05313
PST_0429	G_PST_0429	1	rxn00966
PST_0605	G_PST_0605	1	rxn01451
PST_2431	G_PST_2431	1	rxn05092
PST_1180	G_PST_1180	1	rxn03084
PST_2005	G_PST_2005	3	rxn00002;rxn03839;rxn02222
PST_0921	G_PST_0921	2	rxn03839;rxn02222
PST_0503	G_PST_0503	1	rxn05466
PST_1589	G_PST_1589	1	rxn05466
PST_0504	G_PST_0504	1	rxn05466
PST_1361	G_PST_1361	3	rxn10162;rxn10163;rxn10161
PST_2617	G_PST_2617	1	rxn01513
PST_2339	G_PST_2339	3	rxn02476;rxn01269;rxn01268
PST_2100	G_PST_2100	1	rxn00781
PST_3814	G_PST_3814	1	rxn00775
PST_0318	G_PST_0318	2	rxn00775;rxn03130
PST_1077	G_PST_1077	1	rxn02011
PST_2982	G_PST_2982	1	rxn05161
PST_2027	G_PST_2027	1	rxn05239
PST_3090	G_PST_3090	1	rxn05201
PST_0920	G_PST_0920	1	rxn05201
PST_1773	G_PST_1773	2	rxn02811;rxn02789
PST_2924	G_PST_2924	1	rxn02789
PST_1772	G_PST_1772	2	rxn02811;rxn02789
PST_3876	G_PST_3876	1	rxn00830
PST_3866	G_PST_3866	1	rxn08180
PST_3919	G_PST_3919	1	rxn01331
PST_1377	G_PST_1377	1	rxn00162
PST_3733	G_PST_3733	1	rxn00162
PST_1378	G_PST_1378	1	rxn00162
PST_0414	G_PST_0414	1	rxn01520
PST_0190	G_PST_0190	1	rxn00189
PST_3340	G_PST_3340	1	rxn08783
PST_2250	G_PST_2250	1	rxn00322
PST_0959	G_PST_0959	1	rxn00179
PST_3121	G_PST_3121	2	rxn03990;rxn03991
PST_1201	G_PST_1201	1	rxn01465
PST_3960	G_PST_3960	1	rxn01465
PST_1046	G_PST_1046	2	rxn02159;rxn00863
PST_1300	G_PST_1300	1	rxn03150
PST_3790	G_PST_3790	1	rxn02167
PST_1648	G_PST_1648	1	rxn02167
PST_1213	G_PST_1213	2	rxn02167;rxn03433
PST_3160	G_PST_3160	1	rxn00533
PST_3215	G_PST_3215	1	rxn01504
PST_1353	G_PST_1353	1	rxn00423
PST_3026	G_PST_3026	1	rxn00423
PST_3044	G_PST_3044	1	rxn00423
PST_1603	G_PST_1603	1	rxn00615
PST_2814	G_PST_2814	1	rxn00056
PST_1090	G_PST_1090	1	rxn00056
PST_1296	G_PST_1296	1	rxn04385
PST_2066	G_PST_2066	2	rxn02914;rxn03445
PST_2342	G_PST_2342	2	rxn02914;rxn03445
PST_2028	G_PST_2028	1	rxn01300
PST_0112	G_PST_0112	1	rxn01300
PST_0294	G_PST_0294	2	rxn01314;rxn01313
PST_1565	G_PST_1565	1	rxn01313
PST_1292	G_PST_1292	2	rxn11544;rxn06979
PST_0860	G_PST_0860	1	rxn01146
PST_3634	G_PST_3634	1	rxn01146
PST_1249	G_PST_1249	1	rxn01192
PST_1250	G_PST_1250	1	rxn01192
PST_1669	G_PST_1669	2	rxn03897;rxn03898
PST_1668	G_PST_1668	2	rxn03897;rxn03898
PST_1667	G_PST_1667	2	rxn03897;rxn03898
PST_0717	G_PST_0717	1	rxn02504
PST_1265	G_PST_1265	2	rxn00407;rxn01672
PST_3288	G_PST_3288	1	rxn00904
PST_3296	G_PST_3296	1	rxn00912
PST_0940	G_PST_0940	1	rxn00692
PST_0861	G_PST_0861	1	rxn00992
PST_2762	G_PST_2762	1	rxn00002
PST_2721	G_PST_2721	1	rxn08971
PST_1625	G_PST_1625	1	rxn08971
PST_1801	G_PST_1801	1	rxn08971
PST_2826	G_PST_2826	1	rxn08971
PST_3970	G_PST_3970	1	rxn01303
PST_1994	G_PST_1994	1	rxn01303
PST_0843	G_PST_0843	2	rxn05040;rxn00300
PST_0837	G_PST_0837	2	rxn05040;rxn00300
PST_1553	G_PST_1553	1	rxn06673
PST_1780	G_PST_1780	1	rxn06673
PST_1784	G_PST_1784	1	rxn00790
PST_0524	G_PST_0524	1	rxn00060
PST_0811	G_PST_0811	1	rxn00006
PST_0092	G_PST_0092	1	rxn00006
PST_0039	G_PST_0039	1	rxn00006
PST_1629	G_PST_1629	1	rxn00006
PST_3568	G_PST_3568	1	rxn00006
PST_4090	G_PST_4090	1	rxn02473
PST_3008	G_PST_3008	1	rxn00834
PST_3031	G_PST_3031	1	rxn05293
PST_0838	G_PST_0838	1	rxn03080
PST_0041	G_PST_0041	1	rxn05150
PST_0042	G_PST_0042	1	rxn05150
PST_0044	G_PST_0044	1	rxn05150
PST_3085	G_PST_3085	1	rxn05150
PST_3865	G_PST_3865	1	rxn02297
PST_0741	G_PST_0741	2	rxn01631;rxn01204
PST_1683	G_PST_1683	1	rxn00799
PST_1147	G_PST_1147	1	rxn00799
PST_0511	G_PST_0511	1	rxn00313
PST_1257	G_PST_1257	1	rxn02369
PST_2113	G_PST_2113	1	rxn00086
PST_1512	G_PST_1512	2	rxn01187;rxn00548
PST_1923	G_PST_1923	1	rxn03433
PST_3847	G_PST_3847	1	rxn08618
PST_1870	G_PST_1870	1	rxn00256
PST_3295	G_PST_3295	1	rxn02503
PST_0718	G_PST_0718	1	rxn02503
PST_3742	G_PST_3742	1	rxn00131
PST_1878	G_PST_1878	1	rxn00285
PST_1879	G_PST_1879	1	rxn00285
PST_2188	G_PST_2188	1	rxn00547
PST_0187	G_PST_0187	1	rxn00250
PST_0186	G_PST_0186	1	rxn00250
PST_1088	G_PST_1088	1	rxn03146
PST_3189	G_PST_3189	1	rxn00770
PST_0859	G_PST_0859	1	rxn00770
PST_2116	G_PST_2116	1	rxn00770
PST_3165	G_PST_3165	2	rxn01636;rxn00192
PST_0275	G_PST_0275	2	rxn00192;rxn05457
PST_1674	G_PST_1674	1	rxn00588
PST_2393	G_PST_2393	1	rxn00182
PST_2034	G_PST_2034	1	rxn00289
PST_3677	G_PST_3677	1	rxn03393
PST_0544	G_PST_0544	1	rxn03393
PST_1187	G_PST_1187	1	rxn04783
PST_0558	G_PST_0558	1	rxn01739
PST_2164	G_PST_2164	1	rxn00543
PST_0612	G_PST_0612	2	rxn10770;rxn00543
PST_3241	G_PST_3241	1	rxn00543
PST_3803	G_PST_3803	1	rxn00543
PST_1563	G_PST_1563	1	rxn00543
PST_0444	G_PST_0444	1	rxn00543
PST_0197	G_PST_0197	1	rxn00347
PST_3880	G_PST_3880	1	rxn05206
PST_0191	G_PST_0191	1	rxn00102
PST_3234	G_PST_3234	1	rxn00102
PST_4160	G_PST_4160	1	rxn00102
PST_3563	G_PST_3563	1	rxn03236
PST_3183	G_PST_3183	1	rxn06591
PST_3926	G_PST_3926	1	rxn00126
PST_3323	G_PST_3323	1	rxn00414
PST_3324	G_PST_3324	1	rxn00414
PST_2996	G_PST_2996	1	rxn06937
PST_0933	G_PST_0933	1	rxn05937
PST_1518	G_PST_1518	1	rxn05937
PST_2629	G_PST_2629	1	rxn00980
PST_2324	G_PST_2324	1	rxn00980
PST_0743	G_PST_0743	1	rxn00980
PST_1779	G_PST_1779	1	rxn02508
PST_2263	G_PST_2263	2	rxn01108;rxn01109
PST_3387	G_PST_3387	6	rxn10481;rxn05528;rxn05516;rxn00062;rxn10343;rxn10344
PST_0664	G_PST_0664	6	rxn10481;rxn05528;rxn05516;rxn00062;rxn10343;rxn10344
PST_3613	G_PST_3613	6	rxn10481;rxn05528;rxn05516;rxn00062;rxn10343;rxn10344
PST_1968	G_PST_1968	1	rxn00224
PST_1828	G_PST_1828	1	rxn00139
PST_3569	G_PST_3569	1	rxn05527
PST_1079	G_PST_1079	2	rxn03903;rxn03904
PST_0753	G_PST_0753	1	rxn02465
PST_3849	G_PST_3849	1	rxn08711
PST_0324	G_PST_0324	1	rxn00549
PST_2029	G_PST_2029	1	rxn01257
PST_3157	G_PST_3157	1	rxn05029
PST_3125	G_PST_3125	1	rxn01265
PST_0027	G_PST_0027	1	rxn01740
PST_2050	G_PST_2050	1	rxn03130
PST_1440	G_PST_1440	1	rxn00416
PST_3559	G_PST_3559	1	rxn00165
PST_0338	G_PST_0338	1	rxn03394
PST_2884	G_PST_2884	1	rxn03394
PST_4105	G_PST_4105	1	rxn05154
PST_3663	G_PST_3663	1	rxn00838
PST_2970	G_PST_2970	1	rxn00065
PST_2461	G_PST_2461	1	rxn00065
PST_0271	G_PST_0271	1	rxn00065
PST_0516	G_PST_0516	1	rxn00065
PST_3935	G_PST_3935	1	rxn00141
PST_2873	G_PST_2873	1	rxn05651
PST_0154	G_PST_0154	1	rxn05651
PST_2524	G_PST_2524	1	rxn05651
PST_3521	G_PST_3521	1	rxn01806
PST_3522	G_PST_3522	1	rxn01806
PST_0177	G_PST_0177	1	rxn00337
PST_1370	G_PST_1370	1	rxn00337
PST_0404	G_PST_0404	1	rxn00777
PST_3216	G_PST_3216	1	rxn02889
PST_3214	G_PST_3214	1	rxn02889
PST_0436	G_PST_0436	1	rxn05602
PST_3336	G_PST_3336	1	rxn05602
PST_4080	G_PST_4080	1	rxn01106
PST_1400	G_PST_1400	1	rxn00361
PST_1924	G_PST_1924	1	rxn01480
PST_0323	G_PST_0323	1	rxn05740
PST_1929	G_PST_1929	1	rxn05740
PST_2636	G_PST_2636	1	rxn03181
PST_3025	G_PST_3025	1	rxn05108
PST_1234	G_PST_1234	1	rxn04070
PST_3236	G_PST_3236	1	rxn02004
PST_2831	G_PST_2831	1	rxn03004
PST_1352	G_PST_1352	1	rxn00202
PST_3862	G_PST_3862	1	rxn02277
PST_1289	G_PST_1289	1	rxn10147
PST_0846	G_PST_0846	1	rxn10147
PST_1165	G_PST_1165	1	rxn00691
PST_1293	G_PST_1293	1	rxn11650
PST_0526	G_PST_0526	1	rxn02264
PST_0525	G_PST_0525	1	rxn02264
PST_3084	G_PST_3084	1	rxn01225
PST_3078	G_PST_3078	1	rxn01225
PST_2236	G_PST_2236	1	rxn00623
PST_0997	G_PST_0997	1	rxn00623
PST_0895	G_PST_0895	2	rxn05627;rxn05625
PST_2406	G_PST_2406	2	rxn05627;rxn05625
PST_0306	G_PST_0306	2	rxn00420;rxn02046
PST_3879	G_PST_3879	1	rxn05209
PST_4134	G_PST_4134	1	rxn05209
PST_3404	G_PST_3404	1	rxn05209
PST_2839	G_PST_2839	1	rxn03031
PST_3118	G_PST_3118	1	rxn00148
PST_1150	G_PST_1150	1	rxn00148
PST_3406	G_PST_3406	1	rxn00148
PST_0684	G_PST_0684	2	rxn00874;rxn00178
PST_3220	G_PST_3220	2	rxn00874;rxn00178
PST_3176	G_PST_3176	1	rxn05197
PST_3479	G_PST_3479	1	rxn00022
PST_0490	G_PST_0490	1	rxn00022
PST_2479	G_PST_2479	1	rxn05289
PST_2294	G_PST_2294	1	rxn05289
PST_3557	G_PST_3557	1	rxn05289
PST_0082	G_PST_0082	1	rxn02000
PST_4107	G_PST_4107	1	rxn01977
PST_2111	G_PST_2111	1	rxn00213
PST_4016	G_PST_4016	1	rxn10131
PST_3977	G_PST_3977	1	rxn10131
PST_1570	G_PST_1570	1	rxn10131
PST_0677	G_PST_0677	1	rxn10131
PST_3664	G_PST_3664	1	rxn00789
PST_1045	G_PST_1045	1	rxn00789
PST_1834	G_PST_1834	3	rxn10481;rxn00062;rxn05528
PST_3856	G_PST_3856	1	rxn06077
PST_3280	G_PST_3280	1	rxn02895
PST_3944	G_PST_3944	1	rxn02312
PST_0840	G_PST_0840	1	rxn00438
PST_2035	G_PST_2035	1	rxn00679
PST_0727	G_PST_0727	1	rxn03951
PST_4119	G_PST_4119	1	rxn12206
PST_4115	G_PST_4115	1	rxn12206
PST_4116	G_PST_4116	1	rxn12206
PST_4120	G_PST_4120	1	rxn12206
PST_4117	G_PST_4117	1	rxn12206
PST_4118	G_PST_4118	1	rxn12206
PST_3117	G_PST_3117	1	rxn01102
PST_1258	G_PST_1258	1	rxn02144
PST_1775	G_PST_1775	1	rxn01643
PST_1776	G_PST_1776	1	rxn01643
PST_2968	G_PST_2968	1	rxn01643
PST_2201	G_PST_2201	1	rxn01275
PST_4073	G_PST_4073	1	rxn01653
PST_0060	G_PST_0060	1	rxn01029
PST_2227	G_PST_2227	1	rxn01671
PST_0466	G_PST_0466	1	rxn01362
PST_3633	G_PST_3633	1	rxn02402
PST_3954	G_PST_3954	1	rxn00351
PST_3979	G_PST_3979	1	rxn01019
PST_0675	G_PST_0675	1	rxn01019
PST_3003	G_PST_3003	1	rxn01019
PST_1069	G_PST_1069	1	rxn03917
PST_4087	G_PST_4087	1	rxn03135
PST_0274	G_PST_0274	1	rxn00469
PST_0746	G_PST_0746	1	rxn00791
PST_4113	G_PST_4113	1	rxn12432
PST_4112	G_PST_4112	1	rxn12432
PST_1266	G_PST_1266	1	rxn10120
PST_3531	G_PST_3531	1	rxn10120
PST_1267	G_PST_1267	1	rxn10120
PST_2191	G_PST_2191	1	rxn05170
PST_2193	G_PST_2193	1	rxn05170
PST_2190	G_PST_2190	1	rxn05170
PST_2192	G_PST_2192	1	rxn05170
PST_0026	G_PST_0026	1	rxn02303
PST_3273	G_PST_3273	1	rxn06672
PST_3274	G_PST_3274	1	rxn06672
PST_2834	G_PST_2834	1	rxn03087
PST_0293	G_PST_0293	1	rxn00247
PST_3119	G_PST_3119	1	rxn05667
PST_0469	G_PST_0469	1	rxn01917
PST_3918	G_PST_3918	1	rxn01100
PST_1818	G_PST_1818	1	rxn02939
PST_2973	G_PST_2973	1	rxn01015
PST_3115	G_PST_3115	1	rxn01015
PST_4002	G_PST_4002	1	rxn02175
PST_3155	G_PST_3155	1	rxn01790
PST_2025	G_PST_2025	1	rxn01790
PST_3316	G_PST_3316	1	rxn00747
PST_2194	G_PST_2194	1	rxn00629
PST_0428	G_PST_0428	1	rxn03893
PST_3858	G_PST_3858	1	rxn02270
PST_2632	G_PST_2632	1	rxn02285
PST_3848	G_PST_3848	1	rxn08710
PST_0017	G_PST_0017	1	rxn05146
PST_0015	G_PST_0015	1	rxn05146
PST_0014	G_PST_0014	2	rxn00062;rxn05146
PST_0016	G_PST_0016	1	rxn05146
PST_0674	G_PST_0674	1	rxn00114
PST_3980	G_PST_3980	1	rxn00114
PST_3805	G_PST_3805	1	rxn00420
PST_0408	G_PST_0408	1	rxn00420
PST_3686	G_PST_3686	1	rxn00001
PST_0143	G_PST_0143	1	rxn01476
PST_2328	G_PST_2328	1	rxn01476
PST_3496	G_PST_3496	1	rxn01476
PST_1842	G_PST_1842	1	rxn00058
PST_1838	G_PST_1838	1	rxn00058
PST_1843	G_PST_1843	1	rxn00058
PST_1839	G_PST_1839	1	rxn00058
PST_3541	G_PST_3541	1	rxn00058
PST_1841	G_PST_1841	1	rxn00058
PST_1837	G_PST_1837	1	rxn00058
PST_1840	G_PST_1840	1	rxn00058
PST_0815	G_PST_0815	1	rxn02003
PST_1547	G_PST_1547	1	rxn06723
PST_2536	G_PST_2536	1	rxn07438
PST_1746	G_PST_1746	1	rxn10770
PST_1559	G_PST_1559	1	rxn03907
PST_1084	G_PST_1084	1	rxn00851
PST_3298	G_PST_3298	1	rxn00346
PST_3838	G_PST_3838	1	rxn00827
PST_0893	G_PST_0893	1	rxn05625
PST_3737	G_PST_3737	1	rxn00101
PST_3729	G_PST_3729	1	rxn00101
PST_3738	G_PST_3738	1	rxn00101
PST_3727	G_PST_3727	1	rxn00101
PST_3726	G_PST_3726	1	rxn00101
PST_3728	G_PST_3728	1	rxn00101
PST_3736	G_PST_3736	1	rxn00101
PST_2311	G_PST_2311	1	rxn00336
PST_3268	G_PST_3268	1	rxn00062
PST_3581	G_PST_3581	1	rxn00062
PST_3973	G_PST_3973	1	rxn00062
PST_0375	G_PST_0375	1	rxn00062
PST_1345	G_PST_1345	1	rxn00062
PST_0237	G_PST_0237	1	rxn00062
PST_4197	G_PST_4197	1	rxn00062
PST_4195	G_PST_4195	1	rxn00062
PST_4196	G_PST_4196	1	rxn00062
PST_3004	G_PST_3004	1	rxn00062
PST_2555	G_PST_2555	1	rxn00062
PST_2587	G_PST_2587	1	rxn00062
PST_3725	G_PST_3725	1	rxn00062
PST_1539	G_PST_1539	1	rxn00119
PST_0764	G_PST_0764	1	rxn12510
PST_0317	G_PST_0317	1	rxn05039
PST_2473	G_PST_2473	1	rxn05039
PST_1301	G_PST_1301	1	rxn03538
PST_2761	G_PST_2761	1	ADD_5oxpro3
PST_0740	G_PST_0740	1	ADD_GABA3
PST_0066	G_PST_0066	1	rxn14077
